CHID,DESCRIPTION,HOST,VALUE,EXPECTED_VALUE,C,SAP_NOTE
"M0852","Undo and cleanup files","","15","<= 3000000",""," 2169283"
"M0854","Undo and cleanup file size (GB)","","0.00","<= 50.00",""," 2169283"
"M0856","Max. undo size of current transaction (MB)","","0.00","<= 500.00",""," 2169283"
"M0857","Max. redo size of current transaction (MB)","","0.00","<= 1000.00",""," 2169283"
"M0858","Rollbacks per second (mid-term)","","0.05","<= 2.00",""," 2169283"
"M0860","Current pending sessions","","0","<= 5","",""
"M0863","Avg. pending sessions (short-term)","","0.00","<= 1.00","",""
"M0864","Admission control events (short-term)","","0","<= 100",""," 2222250"
"M0865","Admission control rejections (long-term)","","0","0",""," 2222250"
"M0866","Admission control max. queue size (long-term)","","45","<= 1000",""," 2222250"
"M0867","Admission control queue timeout rejections","","0","0",""," 2222250"
"M0870","SelfWatchDog activity time (%, short-term)","","0.05","<= 2.00",""," 1999998"
"M0871","Max. load history gap (s, mid-term)","erphana02","30","<= 90",""," 2222110"
"M0878","Connections in CANCEL REQUESTED state","","0","0",""," 2169283"
"M0880","Open connections (%)","erphana02","0.08","<= 90.00",""," 1910159"
"M0881","Number of transactions","","100","<= 20000",""," 2154870"
"M0882","Max. parked JobWorker ratio","","0.46","<= 2.00",""," 2256719"
"M0883","Queued JobWorker threads","","38","<= 200",""," 2222250"
"M0885","SqlExecutor threads with significant duration","","1","<= 10",""," 2114710"
"M0887","Application users with significant threads","","none","none",""," 2114710"
"M0888","JobWorker queueing share (%, short-term)","","2.38","<= 15.00",""," 2222250"
"M0890","Unusual frequent thread methods (short-term)","","none","none",""," 2114710"
"M0892","Unusual frequent thread methods (long-term)","","none","none",""," 2114710"
"","","","","","",""
"****","BACKUP","","","","",""
"","","","","","",""
"M0910","Age of last data backup (days)","","4.81","<= 1.20","X"," 1642148"
"M0911","Age of last data backup error (days)","","never",">= 7.00",""," 1642148"
"M0915","Min. data backup throughput (GB/h, mid-term)","","990.58",">= 200.00",""," 1999930"
"M0916","Avg. data backup throughput (GB/h, mid-term)","","990.58",">= 300.00",""," 1999930"
"M0920","Age of last log backup (hours)","","0.07","<= 1.00",""," 1642148"
"M0921","Age of last log backup error (days)","","never",">= 1.00",""," 1642148"
"M0922","Maximum log backup duration (s, short-term)","","2","<= 900",""," 2063454"
"M0923","Log backup errors (long-term)","","0","<= 10",""," 1642148"
"M0940","Size of backup catalog (MB)","","0.31","<= 50.00",""," 2505218"
"M0942","Catalog size share (%, short-term)","","0.55","<= 5.00",""," 2505218"
"M0945","Age of oldest backup in catalog (days)","","4","<= 150",""," 2505218"
"M0950","Log segments not free for reuse","erphana02","1","<= 100",""," 2083715"
"M0952","Log segments free for reuse","erphana02","9","<= 250",""," 2083715"
"M0955","Max. log backups / service / day (short-term)","","97","<= 300",""," 2083715"
"M0960","Days since backup history broken","","none",">= 31.00",""," 1642148"
"","","","","","",""
"****","LOCKS","","","","",""
"","","","","","",""
"M1010","Age of oldest active trans. lock wait (s)","","0","<= 60",""," 1999998"
"M1011","Trans. lock wait durations > 600 s (short-term)","","0","0",""," 1999998"
"M1020","Threads currently waiting for locks","","0","<= 10",""," 1999998"
"M1031","Concurrently blocked transactions (short-term)","erphana02","0","<= 20",""," 1999998"
"M1040","Total current transactional locks","","1","<= 10000000",""," 1999998"
"M1045","Transactional locks older than 1 day","","0","0",""," 1999998"
"M1052","Significant internal lock waits (short-term)","","none","none",""," 1999998"
"M1055","Locks with repeated wait spikes (long-term)","","IniFileLock (60 x 105)","none","X"," 1999998"
"","","","","","",""
"****","SQL","","","","",""
"","","","","","",""
"M1110","SQL using in average > 1 connection (short-term)","","none","none",""," 2000002"
"M1113","SQL using in average > 1 thread (short-term)","","none","none",""," 2000002"
"M1118","Longest running current job (s)","","0","<= 3600",""," 2000002"
"M1120","Exp. stmt. trace: SQL running > 1 h (short-term)","","none","none",""," 2000002"
"M1125","Columns with many scanned records","","none","none",""," 2000002"
"M1126","Row store tables with many scanned records","","none","none",""," 2000002"
"M1129","SQL cache evictions / h (short-term)","erphana02","2942","<= 3000",""," 2124112"
"M1130","SQL cache evictions / h","erphana02","16479","<= 3000","X"," 2124112"
"M1131","SQL cache hit ratio of indexserver (%)","erphana02","78.71",">= 90.00","X"," 2124112"
"M1140","SQL preparation runtime share (%)","erphana02","19.51","<= 5.00","X"," 2124112"
"M1142","Tables with high SQL cache utilization","","none","none",""," 2124112"
"M1143","App. sources with high SQL cache utilization","","none","none",""," 2124112"
"M1145","SQL cache used by IN lists >= 100 elements (%)","","0.49","<= 30.00",""," 2124112"
"M1147","Duplicate statement hashes in SQL cache (%)","erphana02","0.06","<= 20.00",""," 2124112"
"M1148","Statements existing > 100 times in SQL cache","","0","0",""," 2124112"
"M1149","Statements with SESSION LOCAL sharing type (%)","erphana02","0.00","<= 1.00",""," 2124112"
"M1150","Referenced statements in SQL cache (%)","erphana02","0.57","<= 20.00",""," 2124112"
"M1152","Max. SQL contexts per connection","","998","<= 5000",""," 2000002"
"M1155","Number of SQL statements in SUSPENDED state","","0","<= 100",""," 2169283"
"M1159","Hourly maximum commit I/O time average (ms)","erphana02","24.82","<= 50.00",""," 2000000"
"M1160","Average commit time (ms)","erphana02","1.33","<= 10.00",""," 2000000"
"M1161","Maximum commit I/O time (s, long-term)","erphana02","28.26","<= 30.00",""," 2000000"
"M1162","Average commit I/O time (ms, long-term)","erphana02","1.14","<= 10.00",""," 2000000"
