,date,kosdaq
353,2021.10.14,983.0
354,2021.10.13,953.0
355,2021.10.12,940.0
356,2021.10.08,953.0
357,2021.10.07,953.0
358,2021.10.06,922.0
359,2021.10.05,955.0
360,2021.10.01,983.0
361,2021.09.30,1003.0
362,2021.09.29,1001.0
363,2021.09.28,1012.0
364,2021.09.27,1034.0
365,2021.09.24,1037.0
366,2021.09.23,1036.0
367,2021.09.17,1046.0
368,2021.09.16,1039.0
369,2021.09.15,1042.0
370,2021.09.14,1037.0
371,2021.09.13,1026.0
372,2021.09.10,1037.0
373,2021.09.09,1034.0
374,2021.09.08,1037.0
375,2021.09.07,1054.0
376,2021.09.06,1052.0
377,2021.09.03,1053.0
378,2021.09.02,1047.0
379,2021.09.01,1045.0
380,2021.08.31,1038.0
381,2021.08.30,1031.0
382,2021.08.27,1023.0
383,2021.08.26,1020.0
384,2021.08.25,1017.0
385,2021.08.24,1013.0
386,2021.08.23,993.0
387,2021.08.20,967.0
388,2021.08.19,991.0
389,2021.08.18,1021.0
390,2021.08.17,1011.0
391,2021.08.13,1040.0
392,2021.08.12,1054.0
393,2021.08.11,1051.0
394,2021.08.10,1052.0
395,2021.08.09,1060.0
396,2021.08.06,1059.0
397,2021.08.05,1059.0
398,2021.08.04,1047.0
399,2021.08.03,1036.0
400,2021.08.02,1037.0
401,2021.07.30,1031.0
402,2021.07.29,1044.0
403,2021.07.28,1035.0
404,2021.07.27,1046.0
405,2021.07.26,1047.0
406,2021.07.23,1055.0
407,2021.07.22,1050.0
408,2021.07.21,1042.0
409,2021.07.20,1043.0
410,2021.07.19,1049.0
411,2021.07.16,1051.0
412,2021.07.15,1054.0
413,2021.07.14,1044.0
414,2021.07.13,1043.0
415,2021.07.12,1034.0
416,2021.07.09,1028.0
417,2021.07.08,1034.0
418,2021.07.07,1047.0
419,2021.07.06,1044.0
420,2021.07.05,1047.0
421,2021.07.02,1038.0
422,2021.07.01,1035.0
423,2021.06.30,1029.0
424,2021.06.29,1022.0
425,2021.06.28,1017.0
426,2021.06.25,1012.0
427,2021.06.24,1012.0
428,2021.06.23,1016.0
429,2021.06.22,1011.0
430,2021.06.21,1010.0
431,2021.06.18,1015.0
432,2021.06.17,1003.0
433,2021.06.16,998.0
434,2021.06.15,997.0
435,2021.06.14,997.0
436,2021.06.11,991.0
437,2021.06.10,987.0
438,2021.06.09,978.0
439,2021.06.08,986.0
440,2021.06.07,985.0
441,2021.06.04,987.0
442,2021.06.03,990.0
443,2021.06.02,981.0
444,2021.06.01,984.0
445,2021.05.31,981.0
446,2021.05.28,977.0
447,2021.05.27,974.0
448,2021.05.26,966.0
449,2021.05.25,962.0
450,2021.05.24,948.0
451,2021.05.21,965.0
452,2021.05.20,971.0
453,2021.05.18,969.0
454,2021.05.17,962.0
455,2021.05.14,966.0
456,2021.05.13,951.0
457,2021.05.12,967.0
458,2021.05.11,978.0
459,2021.05.10,992.0
460,2021.05.07,978.0
461,2021.05.06,969.0
462,2021.05.04,967.0
463,2021.05.03,961.0
464,2021.04.30,983.0
465,2021.04.29,990.0
466,2021.04.28,998.0
467,2021.04.27,1021.0
468,2021.04.26,1030.0
469,2021.04.23,1026.0
470,2021.04.22,1025.0
471,2021.04.21,1022.0
472,2021.04.20,1031.0
473,2021.04.19,1029.0
474,2021.04.16,1021.0
475,2021.04.15,1013.0
476,2021.04.14,1014.0
477,2021.04.13,1010.0
478,2021.04.12,1000.0
479,2021.04.09,989.0
480,2021.04.08,982.0
481,2021.04.07,973.0
482,2021.04.06,968.0
483,2021.04.05,969.0
484,2021.04.02,970.0
485,2021.04.01,965.0
486,2021.03.31,956.0
487,2021.03.30,958.0
488,2021.03.29,954.0
489,2021.03.26,956.0
490,2021.03.25,954.0
491,2021.03.24,953.0
492,2021.03.23,946.0
493,2021.03.22,955.0
494,2021.03.19,952.0
495,2021.03.18,949.0
496,2021.03.17,943.0
497,2021.03.16,940.0
498,2021.03.15,926.0
499,2021.03.12,925.0
500,2021.03.11,908.0
501,2021.03.10,890.0
502,2021.03.09,896.0
503,2021.03.08,904.0
504,2021.03.05,923.0
505,2021.03.04,926.0
506,2021.03.03,930.0
507,2021.03.02,923.0
508,2021.02.26,913.0
509,2021.02.25,936.0
510,2021.02.24,906.0
511,2021.02.23,936.0
512,2021.02.22,954.0
513,2021.02.19,965.0
514,2021.02.18,967.0
515,2021.02.17,979.0
516,2021.02.16,977.0
517,2021.02.15,981.0
518,2021.02.10,964.0
519,2021.02.09,957.0
520,2021.02.08,960.0
521,2021.02.05,967.0
522,2021.02.04,964.0
523,2021.02.03,970.0
524,2021.02.02,963.0
525,2021.02.01,956.0
526,2021.01.29,928.0
527,2021.01.28,961.0
528,2021.01.27,985.0
529,2021.01.26,994.0
530,2021.01.25,999.0
531,2021.01.22,979.0
532,2021.01.21,981.0
533,2021.01.20,977.0
534,2021.01.19,957.0
535,2021.01.18,944.0
536,2021.01.15,964.0
537,2021.01.14,980.0
538,2021.01.13,979.0
539,2021.01.12,973.0
540,2021.01.11,976.0
541,2021.01.08,987.0
542,2021.01.07,988.0
543,2021.01.06,981.0
544,2021.01.05,985.0
545,2021.01.04,977.0
546,2020.12.30,968.0
547,2020.12.29,957.0
548,2020.12.28,927.0
549,2020.12.24,928.0
550,2020.12.23,923.0
551,2020.12.22,928.0
552,2020.12.21,953.0
553,2020.12.18,947.0
554,2020.12.17,944.0
555,2020.12.16,939.0
556,2020.12.15,931.0
557,2020.12.14,929.0
558,2020.12.11,928.0
559,2020.12.10,921.0
560,2020.12.09,913.0
561,2020.12.08,906.0
562,2020.12.07,926.0
563,2020.12.04,913.0
564,2020.12.03,907.0
565,2020.12.02,899.0
566,2020.12.01,891.0
567,2020.11.30,886.0
568,2020.11.27,885.0
569,2020.11.26,874.0
570,2020.11.25,865.0
571,2020.11.24,872.0
572,2020.11.23,873.0
573,2020.11.20,870.0
